word	nodeType	unit
floaty	ADJ	vol-25
sumo	ADJ	vol-25
good	ADJ	vol-25
high	ADJ	vol-25
north	ADJ	vol-25
american	ADJ	vol-25
correct	ADJ	vol-25
big	ADJ	vol-25
more	ADJ	vol-25
right	ADJ	vol-25
left	ADJ	vol-25
heavy	ADJ	vol-25
right	ADJ	vol-25
left	ADJ	vol-25
right	ADJ	vol-25
left	ADJ	vol-25
single	ADJ	vol-25
true	ADJ	vol-25
massive	ADJ	vol-25
serious	ADJ	vol-25
same	ADJ	vol-25
merry	ADJ	vol-25
merry	ADJ	vol-25
violent	ADJ	vol-25
dangerous	ADJ	vol-25
near	ADJ	vol-25
large	ADJ	vol-25
small	ADJ	vol-25
fun	ADJ	vol-25
surprised	ADJ	vol-25
late	ADJ	vol-25
huge	ADJ	vol-25
fuzzy	ADJ	vol-25
fuzzy	ADJ	vol-25
next	ADJ	vol-25
possible	ADJ	vol-19
main	ADJ	vol-19
left	ADJ	vol-19
enough	ADJ	vol-19
old	ADJ	vol-19
same	ADJ	vol-19
human	ADJ	vol-19
right	ADJ	vol-19
fried	ADJ	vol-19
chinese	ADJ	vol-19
old	ADJ	vol-19
good	ADJ	vol-19
old	ADJ	vol-19
slow	ADJ	vol-19
old	ADJ	vol-19
human	ADJ	vol-19
old	ADJ	vol-19
bad	ADJ	vol-19
nice	ADJ	vol-19
next	ADJ	vol-19
same	ADJ	vol-19
many	ADJ	vol-19
same	ADJ	vol-19
well	ADJ	vol-19
middle	ADJ	vol-19
high	ADJ	vol-19
8th	ADJ	vol-19
worried	ADJ	vol-19
other	ADJ	vol-19
serious	ADJ	vol-19
serious	ADJ	vol-19
special	ADJ	vol-19
dangerous	ADJ	vol-19
next	ADJ	vol-19
bloody	ADJ	vol-19
surprising	ADJ	vol-19
same	ADJ	vol-19
right	ADJ	vol-19
full	ADJ	vol-19
big	ADJ	vol-19
sayeen	ADJ	vol-19
right	ADJ	vol-19
only	ADJ	vol-19
right	ADJ	vol-19
next	ADJ	vol-19
sure	ADJ	vol-18
difficult	ADJ	vol-18
open	ADJ	vol-18
embarrassed	ADJ	vol-18
entire	ADJ	vol-18
sure	ADJ	vol-18
embarrassing	ADJ	vol-18
secret	ADJ	vol-18
bad	ADJ	vol-18
happy	ADJ	vol-18
little	ADJ	vol-18
certain	ADJ	vol-18
same	ADJ	vol-18
other	ADJ	vol-18
small	ADJ	vol-18
sorry	ADJ	vol-18
hilarious	ADJ	vol-18
unapologetic	ADJ	vol-18
right	ADJ	vol-18
cool	ADJ	vol-18
young	ADJ	vol-18
cold	ADJ	vol-18
right	ADJ	vol-18
cold	ADJ	vol-18
correct	ADJ	vol-18
right	ADJ	vol-18
cold	ADJ	vol-18
enough	ADJ	vol-18
naked	ADJ	vol-18
MOST	ADJ	vol-18
special	ADJ	vol-18
incredible	ADJ	vol-18
male	ADJ	vol-18
female	ADJ	vol-18
