word	nodeType	synsetCount	unit
whole	ADJ	8	vol-24
enough	ADJ	3	vol-24
great	ADJ	7	vol-24
orange	ADJ	6	vol-24
big	ADJ	17	vol-24
cold	ADJ	16	vol-24
erotic	ADJ	2	vol-24
embarrassed	ADJ	4	vol-24
big	ADJ	17	vol-24
drawn	ADJ	38	vol-24
presumptuous	ADJ	1	vol-24
next	ADJ	4	vol-24
few	ADJ	2	vol-26
foreign	ADJ	4	vol-26
international	ADJ	3	vol-26
able	ADJ	4	vol-26
foreign	ADJ	4	vol-26
main	ADJ	5	vol-26
foreign	ADJ	4	vol-26
interesting	ADJ	4	vol-26
strange	ADJ	3	vol-26
different	ADJ	5	vol-26
different	ADJ	5	vol-26
same	ADJ	6	vol-26
unique	ADJ	4	vol-26
japanese	ADJ	3	vol-26
foreign	ADJ	4	vol-26
happy	ADJ	4	vol-26
french	ADJ	5	vol-26
same	ADJ	6	vol-26
french	ADJ	5	vol-26
careful	ADJ	5	vol-26
surprised	ADJ	4	vol-26
such	ADJ	2	vol-26
fine	ADJ	10	vol-26
little	ADJ	10	vol-26
silly	ADJ	5	vol-26
american	ADJ	5	vol-26
american	ADJ	5	vol-26
other	ADJ	4	vol-26
japanese	ADJ	3	vol-26
same	ADJ	6	vol-26
next	ADJ	4	vol-26
stupid	ADJ	4	vol-26
next	ADJ	4	vol-26
bad	ADJ	17	vol-27
horrible	ADJ	1	vol-27
amazing	ADJ	4	vol-27
maximum	ADJ	4	vol-27
well	ADJ	22	vol-27
more	ADJ	5	vol-27
big	ADJ	17	vol-27
horrible	ADJ	1	vol-27
cool	ADJ	11	vol-27
